import time: self [us] | cumulative | imported package
import time:       515 |        515 |                 scipy.linalg._sketches
import time:       309 |        309 |                 scipy.linalg._decomp_cossin
import time:       151 |        151 |                 scipy.linalg.decomp
import time:       129 |        129 |                 scipy.linalg.decomp_cholesky
import time:       132 |        132 |                 scipy.linalg.decomp_lu
import time:       173 |        173 |                 scipy.linalg.decomp_qr
import time:       144 |        144 |                 scipy.linalg.decomp_svd
import time:       479 |        479 |                 scipy.linalg.decomp_schur
import time:       100 |        100 |                 scipy.linalg.basic
import time:        91 |         91 |                 scipy.linalg.misc
import time:        80 |         80 |                 scipy.linalg.special_matrices
import time:        80 |         80 |                 scipy.linalg.matfuncs
import time:       455 |      26509 |               scipy.linalg
import time:       249 |        249 |                 scipy.special._sf_error
import time:       635 |        635 |                   scipy.special._ufuncs_cxx
import time:       384 |        384 |                   scipy.special._ellip_harm_2
import time:      1513 |       1513 |                   scipy.special._special_ufuncs
import time:       708 |        708 |                   scipy.special._gufuncs
import time:       932 |       4170 |                 scipy.special._ufuncs
import time:       119 |        119 |                   scipy.special._input_validation
import time:       590 |        590 |                   scipy.special._specfun
import time:       368 |        368 |                   scipy.special._comb
import time:       518 |       1594 |                 scipy.special._basic
import time:       192 |        192 |                     scipy.special._ufunc_tools
import time:       316 |        507 |                   scipy.special._spfun_stats
import time:     17217 |      17724 |                 scipy.special._support_alternative_backends
import time:      1005 |       1005 |                 scipy.special._logsumexp
import time:       626 |        626 |                 scipy.special._multiufuncs
import time:       569 |        569 |                 scipy.special._orthogonal
import time:       242 |        242 |                 scipy.special._ellip_harm
import time:       179 |        179 |                 scipy.special._lambertw
import time:       203 |        203 |                 scipy.special._spherical_bessel
import time:       170 |        170 |                 scipy.special.add_newdocs
import time:       182 |        182 |                 scipy.special.basic
import time:       122 |        122 |                 scipy.special.orthogonal
import time:       187 |        187 |                 scipy.special.specfun
import time:       398 |        398 |                 scipy.special.sf_error
import time:       100 |        100 |                 scipy.special.spfun_stats
import time:       500 |      28212 |               scipy.special
import time:       536 |        536 |               scipy.spatial._hausdorff
import time:       640 |        640 |               scipy.spatial._distance_pybind
import time:       553 |        553 |               scipy.spatial._distance_wrap
import time:      1581 |      58028 |             scipy.spatial.distance
import time:      1017 |     123890 |           scipy.spatial._kdtree
import time:       449 |        449 |             scipy._lib.messagestream
import time:       988 |       1436 |           scipy.spatial._qhull
import time:       412 |        412 |             scipy.spatial._voronoi
import time:       239 |        650 |           scipy.spatial._spherical_voronoi
import time:       209 |        209 |           scipy.spatial._plotutils
import time:       167 |        167 |           scipy.spatial._procrustes
import time:       153 |        153 |           scipy.spatial._geometric_slerp
import time:        91 |         91 |           scipy.spatial.ckdtree
import time:        86 |         86 |           scipy.spatial.kdtree
import time:        85 |         85 |           scipy.spatial.qhull
import time:       713 |        713 |               scipy.spatial.transform._rotation_cy
import time:       392 |        392 |               scipy.spatial.transform._rotation_xp
import time:      3288 |       3288 |                   scipy.constants._codata
import time:       672 |        672 |                   scipy.constants._constants
import time:       113 |        113 |                   scipy.constants.codata
import time:       145 |        145 |                   scipy.constants.constants
import time:       631 |       4846 |                 scipy.constants
import time:       182 |       5028 |               scipy.spatial.transform._rotation_groups
import time:      9299 |      15432 |             scipy.spatial.transform._rotation
import time:       652 |        652 |               scipy.spatial.transform._rigid_transform_cy
import time:       527 |        527 |               scipy.spatial.transform._rigid_transform_xp
import time:      1228 |       2406 |             scipy.spatial.transform._rigid_transform
import time:       849 |        849 |             scipy.spatial.transform._rotation_spline
import time:       172 |        172 |             scipy.spatial.transform.rotation
import time:       166 |      19023 |           scipy.spatial.transform
import time:       302 |     157389 |         scipy.spatial
import time:       742 |     158131 |       xtal.core.neighbors
import time:       259 |        259 |       xtal.core.transforms
import time:      1069 |     159457 |     xtal.core.bonding
import time:       409 |     160910 |   xtal.commands.bonds
import time:       764 |        764 |   xtal.commands.clipboard
import time:       705 |        705 |         xtal.ff.api
